Gasday,Gasprice
02.04.22,315.5
03.04.22,315.5
04.04.22,315.5
05.04.22,315.5
06.04.22,315.5
07.04.22,315.5
08.04.22,315.5
09.04.22,315.5
10.04.22,315.5
11.04.22,315.5
12.04.22,315.5
13.04.22,315.5
14.04.22,315.5
15.04.22,315.5
16.04.22,315.5
17.04.22,315.5
18.04.22,315.5
19.04.22,315.5
20.04.22,315.5
21.04.22,315.5
22.04.22,315.5
23.04.22,315.5
24.04.22,315.5
25.04.22,315.5
26.04.22,315.5
27.04.22,315.5
28.04.22,315.5
29.04.22,315.5
30.04.22,315.5
01.05.22,291.5
02.05.22,291.5
03.05.22,291.5
04.05.22,291.5
05.05.22,291.5
06.05.22,291.5
07.05.22,291.5
08.05.22,291.5
09.05.22,291.5
10.05.22,291.5
11.05.22,291.5
12.05.22,291.5
13.05.22,291.5
14.05.22,291.5
15.05.22,291.5
16.05.22,291.5
17.05.22,291.5
18.05.22,291.5
19.05.22,291.5
20.05.22,291.5
21.05.22,291.5
22.05.22,291.5
23.05.22,291.5
24.05.22,291.5
25.05.22,291.5
26.05.22,291.5
27.05.22,291.5
28.05.22,291.5
29.05.22,291.5
30.05.22,291.5
31.05.22,291.5
01.06.22,321.7
02.06.22,321.7
03.06.22,321.7
04.06.22,321.7
05.06.22,321.7
06.06.22,321.7
07.06.22,321.7
08.06.22,321.7
09.06.22,321.7
10.06.22,321.7
11.06.22,321.7
12.06.22,321.7
13.06.22,321.7
14.06.22,321.7
15.06.22,321.7
16.06.22,321.7
17.06.22,321.7
18.06.22,321.7
19.06.22,321.7
20.06.22,321.7
21.06.22,321.7
22.06.22,321.7
23.06.22,321.7
24.06.22,321.7
25.06.22,321.7
26.06.22,321.7
27.06.22,321.7
28.06.22,321.7
29.06.22,321.7
30.06.22,321.7
01.07.22,455.9
02.07.22,455.9
03.07.22,455.9
04.07.22,455.9
05.07.22,455.9
06.07.22,455.9
07.07.22,455.9
08.07.22,455.9
09.07.22,455.9
10.07.22,455.9
11.07.22,455.9
12.07.22,455.9
13.07.22,455.9
14.07.22,455.9
15.07.22,455.9
16.07.22,455.9
17.07.22,455.9
18.07.22,455.9
19.07.22,455.9
20.07.22,455.9
21.07.22,455.9
22.07.22,455.9
23.07.22,455.9
24.07.22,455.9
25.07.22,455.9
26.07.22,455.9
27.07.22,455.9
28.07.22,455.9
29.07.22,455.9
30.07.22,455.9
31.07.22,455.9
01.08.22,234.5
02.08.22,234.5
03.08.22,234.5
04.08.22,234.5
05.08.22,234.5
06.08.22,234.5
07.08.22,234.5
08.08.22,234.5
09.08.22,234.5
10.08.22,234.5
11.08.22,234.5
12.08.22,234.5
13.08.22,234.5
14.08.22,234.5
15.08.22,234.5
16.08.22,234.5
17.08.22,234.5
18.08.22,234.5
